ANT1:1
BATTC1:1
BATTP1:1
BMS1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C2:1
C5:1
C6:1
C7:1
C8:1
C9:1
CHRG1:1
ESP1:1
HAPTIC1:1
INPT_BTN1:1
LDO1:1
LORA1:1
LRAM1:1
LRAP1:1
MOUNT1:1
MOUNT2:1
MOUNT3:1
MOUNT4:1
R10:1
R11:1
R12:1
R13:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
TEST1:1
